,date,price_usd
310,2020-11-07,36.97
311,2020-11-08,36.97
312,2020-11-09,40.05
313,2020-11-10,41.18
314,2020-11-11,41.23
315,2020-11-12,40.9
316,2020-11-13,39.93
317,2020-11-14,39.93
318,2020-11-15,39.93
319,2020-11-16,41.14
320,2020-11-17,41.24
321,2020-11-18,41.64
322,2020-11-19,41.57
323,2020-11-20,41.99
324,2020-11-21,41.99
325,2020-11-22,41.99
326,2020-11-23,42.91
327,2020-11-24,44.71
328,2020-11-25,45.58
329,2020-11-26,45.58
330,2020-11-27,45.58
331,2020-11-28,45.58
332,2020-11-29,45.58
333,2020-11-30,45.2
334,2020-12-01,44.54
335,2020-12-02,45.23
336,2020-12-03,45.65
337,2020-12-04,46.23
338,2020-12-05,46.23
339,2020-12-06,46.23
340,2020-12-07,45.72
341,2020-12-08,45.64
342,2020-12-09,45.48
343,2020-12-10,46.76
344,2020-12-11,46.59
345,2020-12-12,46.59
346,2020-12-13,46.59
347,2020-12-14,47.02
348,2020-12-15,47.58
349,2020-12-16,47.86
350,2020-12-17,48.34
351,2020-12-18,49.04
352,2020-12-19,49.04
353,2020-12-20,49.04
354,2020-12-21,47.79
355,2020-12-22,47.02
356,2020-12-23,47.94
357,2020-12-24,48.18
358,2020-12-25,48.18
359,2020-12-26,48.18
360,2020-12-27,48.18
361,2020-12-28,47.5
362,2020-12-29,47.85
363,2020-12-30,48.24
364,2020-12-31,48.35
365,2021-01-01,48.35
366,2021-01-02,48.35
367,2021-01-03,48.35
368,2021-01-04,47.47
369,2021-01-05,49.78
370,2021-01-06,50.45
371,2021-01-07,50.63
372,2021-01-08,52.14
373,2021-01-09,52.14
374,2021-01-10,52.14
375,2021-01-11,52.15
376,2021-01-12,53.08
377,2021-01-13,52.81
378,2021-01-14,53.47
379,2021-01-15,52.25
380,2021-01-16,52.25
381,2021-01-17,52.25
382,2021-01-18,52.25
383,2021-01-19,52.87
384,2021-01-20,53.16
385,2021-01-21,53.0
386,2021-01-22,52.28
387,2021-01-23,52.28
388,2021-01-24,52.28
389,2021-01-25,52.78
390,2021-01-26,52.61
391,2021-01-27,52.81
392,2021-01-28,52.26
393,2021-01-29,52.16
394,2021-01-30,52.16
395,2021-01-31,52.16
396,2021-02-01,53.55
397,2021-02-02,54.77
398,2021-02-03,55.67
399,2021-02-04,56.19
400,2021-02-05,56.8
401,2021-02-06,56.8
402,2021-02-07,56.8
403,2021-02-08,57.95
404,2021-02-09,58.34
405,2021-02-10,58.69
406,2021-02-11,58.22
407,2021-02-12,59.5
408,2021-02-13,59.5
409,2021-02-14,59.5
410,2021-02-15,59.5
411,2021-02-16,60.07
412,2021-02-17,61.09
413,2021-02-18,60.4
414,2021-02-19,59.12
415,2021-02-20,59.12
416,2021-02-21,59.12
417,2021-02-22,61.67
418,2021-02-23,61.66
419,2021-02-24,63.21
420,2021-02-25,63.43
421,2021-02-26,61.55
422,2021-02-27,61.55
423,2021-02-28,61.55
424,2021-03-01,60.54
425,2021-03-02,59.7
426,2021-03-03,61.33
427,2021-03-04,63.81
428,2021-03-05,66.08
429,2021-03-06,66.08
430,2021-03-07,66.08
431,2021-03-08,65.03
432,2021-03-09,64.02
433,2021-03-10,64.45
434,2021-03-11,66.02
