,country,code,year,illiteracy_rate,literacy_rate,invalid_literacy_flag,literacy_rate_outlier_flag,illiteracy_rate_outlier_flag
456,Ecuador,ECU,2001,9.0,91.0,False,False,False
457,Ecuador,ECU,2007,8.0,92.0,False,False,False
458,Ecuador,ECU,2008,8.0,92.0,False,False,False
459,Ecuador,ECU,2009,8.0,92.0,False,False,False
460,Ecuador,ECU,2010,8.0,92.0,False,False,False
461,Ecuador,ECU,2011,8.0,92.0,False,False,False
462,Ecuador,ECU,2012,8.0,92.0,False,False,False
463,Ecuador,ECU,2013,7.0,93.0,False,False,False
464,Ecuador,ECU,2014,6.0,94.0,False,False,False
465,Ecuador,ECU,2015,6.0,94.0,False,False,False
466,Ecuador,ECU,2016,6.0,94.0,False,False,False
467,Ecuador,ECU,2017,7.0,93.0,False,False,False
468,Ecuador,ECU,2020,6.0,94.0,False,False,False
469,Ecuador,ECU,2021,6.0,94.0,False,False,False
470,Ecuador,ECU,2022,6.0,94.0,False,False,False
478,Egypt,EGY,1996,44.0,56.0,False,False,False
479,Egypt,EGY,2005,33.0,67.0,False,False,False
480,Egypt,EGY,2006,34.0,66.0,False,False,False
481,Egypt,EGY,2010,28.0,72.0,False,False,False
482,Egypt,EGY,2012,26.0,74.0,False,False,False
483,Egypt,EGY,2013,28.0,72.0,False,False,False
484,Egypt,EGY,2017,29.0,71.0,False,False,False
486,El Salvador,SLV,1992,26.0,74.0,False,False,False
487,El Salvador,SLV,2006,16.0,84.0,False,False,False
488,El Salvador,SLV,2007,18.0,82.0,False,False,False
489,El Salvador,SLV,2008,16.0,84.0,False,False,False
490,El Salvador,SLV,2009,16.0,84.0,False,False,False
491,El Salvador,SLV,2010,16.0,84.0,False,False,False
492,El Salvador,SLV,2011,15.0,85.0,False,False,False
493,El Salvador,SLV,2013,13.0,87.0,False,False,False
494,El Salvador,SLV,2015,12.0,88.0,False,False,False
495,El Salvador,SLV,2016,12.0,88.0,False,False,False
496,El Salvador,SLV,2017,12.0,88.0,False,False,False
497,El Salvador,SLV,2018,11.0,89.0,False,False,False
498,El Salvador,SLV,2019,11.0,89.0,False,False,False
499,El Salvador,SLV,2020,10.0,90.0,False,False,False
500,El Salvador,SLV,2023,10.0,90.0,False,False,False
502,Equatorial Guinea,GNQ,2000,12.0,88.0,False,False,False
504,Eritrea,ERI,2002,47.0,53.0,False,False,False
505,Eritrea,ERI,2008,35.0,65.0,False,False,False
507,Estonia,EST,2000,0.0,100.0,False,False,False
508,Estonia,EST,2011,0.0,100.0,False,False,False
512,Eswatini,SWZ,2000,18.0,82.0,False,False,False
513,Eswatini,SWZ,2022,9.252983,90.74702,False,False,False
515,Ethiopia,ETH,1994,73.0,27.0,False,True,True
516,Ethiopia,ETH,2004,64.0,36.0,False,True,True
517,Ethiopia,ETH,2007,61.0,39.0,False,False,False
518,Ethiopia,ETH,2016,52.50841,47.49159,False,False,False
582,Gabon,GAB,1993,28.0,72.0,False,False,False
583,Gabon,GAB,2021,11.141663,88.85834,False,False,False
585,Gambia,GMB,2000,63.0,37.0,False,True,True
586,Gambia,GMB,2015,49.0,51.0,False,False,False
587,Gambia,GMB,2018,46.8398,53.1602,False,False,False
588,Gambia,GMB,2021,48.3626,51.6374,False,False,False
589,Georgia,GEO,2002,0.0,100.0,False,False,False
590,Georgia,GEO,2014,0.0,100.0,False,False,False
591,Georgia,GEO,2017,1.0,99.0,False,False,False
592,Georgia,GEO,2018,0.34633636,99.65366,False,False,False
593,Georgia,GEO,2022,0.0,100.0,False,False,False
594,Georgia,GEO,2023,0.44452667,99.55547,False,False,False
601,Ghana,GHA,2000,42.0,58.0,False,False,False
602,Ghana,GHA,2010,29.0,71.0,False,False,False
603,Ghana,GHA,2017,35.507607,64.49239,False,False,False
604,Ghana,GHA,2021,23.51432,76.48568,False,False,False
611,Greece,GRC,1991,7.0,93.0,False,False,False
612,Greece,GRC,2001,4.0,96.0,False,False,False
613,Greece,GRC,2009,6.0,94.0,False,False,False
621,Guam,GUM,1990,1.0,99.0,False,False,False
623,Guatemala,GTM,1994,36.0,64.0,False,False,False
624,Guatemala,GTM,2002,31.0,69.0,False,False,False
625,Guatemala,GTM,2012,22.0,78.0,False,False,False
626,Guatemala,GTM,2013,23.0,77.0,False,False,False
627,Guatemala,GTM,2014,19.0,81.0,False,False,False
628,Guatemala,GTM,2015,19.804909,80.19509,False,False,False
629,Guatemala,GTM,2018,19.0,81.0,False,False,False
630,Guatemala,GTM,2022,16.968826,83.03117,False,False,False
631,Guinea,GIN,1996,79.0,21.0,False,True,True
632,Guinea,GIN,2003,70.0,30.0,False,True,True
633,Guinea,GIN,2010,75.0,25.0,False,True,True
634,Guinea,GIN,2014,68.0,32.0,False,True,True
635,Guinea,GIN,2018,60.0,40.0,False,False,False
638,Guinea-Bissau,GNB,2000,59.0,41.0,False,False,False
639,Guinea-Bissau,GNB,2019,45.11768,54.88232,False,False,False
640,Guinea-Bissau,GNB,2022,36.06587,63.93413,False,False,False
642,Guyana,GUY,2020,14.361649,85.63835,False,False,False
645,Haiti,HTI,2003,41.0,59.0,False,False,False
646,Haiti,HTI,2017,31.990143,68.00986,False,False,False
653,Honduras,HND,2001,20.0,80.0,False,False,False
654,Honduras,HND,2007,16.0,84.0,False,False,False
655,Honduras,HND,2010,15.0,85.0,False,False,False
656,Honduras,HND,2011,15.0,85.0,False,False,False
657,Honduras,HND,2012,15.0,85.0,False,False,False
658,Honduras,HND,2013,15.0,85.0,False,False,False
659,Honduras,HND,2014,13.0,87.0,False,False,False
660,Honduras,HND,2015,12.0,88.0,False,False,False
661,Honduras,HND,2016,11.0,89.0,False,False,False
662,Honduras,HND,2018,13.0,87.0,False,False,False
663,Honduras,HND,2019,11.0,89.0,False,False,False
679,India,IND,1991,52.0,48.0,False,False,False
680,India,IND,2001,39.0,61.0,False,False,False
681,India,IND,2006,37.0,63.0,False,False,False
682,India,IND,2011,31.0,69.0,False,False,False
683,India,IND,2022,24.0,76.0,False,False,False
684,India,IND,2023,18.0,82.0,False,False,False
687,Indonesia,IDN,1990,18.0,82.0,False,False,False
688,Indonesia,IDN,2004,10.0,90.0,False,False,False
689,Indonesia,IDN,2006,8.0,92.0,False,False,False
690,Indonesia,IDN,2008,8.0,92.0,False,False,False
691,Indonesia,IDN,2009,7.0,93.0,False,False,False
692,Indonesia,IDN,2011,7.0,93.0,False,False,False
693,Indonesia,IDN,2014,5.0,95.0,False,False,False
694,Indonesia,IDN,2015,5.0,95.0,False,False,False
695,Indonesia,IDN,2016,5.0,95.0,False,False,False
696,Indonesia,IDN,2018,4.0,96.0,False,False,False
697,Indonesia,IDN,2020,4.0,96.0,False,False,False
701,Iran,IRN,1991,34.0,66.0,False,False,False
702,Iran,IRN,1996,27.0,73.0,False,False,False
703,Iran,IRN,2002,23.0,77.0,False,False,False
704,Iran,IRN,2005,18.0,82.0,False,False,False
705,Iran,IRN,2006,18.0,82.0,False,False,False
706,Iran,IRN,2008,17.0,83.0,False,False,False
707,Iran,IRN,2012,16.0,84.0,False,False,False
708,Iran,IRN,2013,15.0,85.0,False,False,False
709,Iran,IRN,2014,15.0,85.0,False,False,False
710,Iran,IRN,2016,14.0,86.0,False,False,False
712,Iraq,IRQ,2000,26.0,74.0,False,False,False
713,Iraq,IRQ,2012,23.0,77.0,False,False,False
714,Iraq,IRQ,2014,18.0,82.0,False,False,False
715,Iraq,IRQ,2016,17.0,83.0,False,False,False
716,Iraq,IRQ,2017,14.0,86.0,False,False,False
735,Italy,ITA,2001,2.0,98.0,False,False,False
736,Italy,ITA,2011,1.0,99.0,False,False,False
737,Italy,ITA,2019,1.0,99.0,False,False,False
