,country,code,year,adult_literacy_rate,youth_literacy_rate_M,youth_literacy_rate_F,continent,invalid_literacy_flag,adult_literacy_rate_outlier_flag,youth_literacy_rate_M_outlier_flag,youth_literacy_rate_F_outlier_flag
42,Azerbaijan,AZE,2012,100.0,100.0,100.0,Asia,False,False,False,False
43,Azerbaijan,AZE,2013,100.0,100.0,100.0,Asia,False,False,False,False
44,Azerbaijan,AZE,2014,100.0,100.0,100.0,Asia,False,False,False,False
45,Azerbaijan,AZE,2015,100.0,100.0,100.0,Asia,False,False,False,False
46,Azerbaijan,AZE,2016,100.0,100.0,100.0,Asia,False,False,False,False
47,Azerbaijan,AZE,2017,100.0,100.0,100.0,Asia,False,False,False,False
48,Azerbaijan,AZE,2019,100.0,100.0,100.0,Asia,False,False,False,False
49,Azerbaijan,AZE,2023,100.0,100.0,100.0,Asia,False,False,False,False
51,Bahrain,BHR,1991,84.0,97.0,97.0,Asia,False,False,False,False
52,Bahrain,BHR,2001,87.0,97.0,97.0,Asia,False,False,False,False
53,Bahrain,BHR,2022,98.0,99.0,99.0,Asia,False,False,False,False
54,Bahrain,BHR,2023,98.0,99.0,99.0,Asia,False,False,False,False
56,Bangladesh,BGD,1991,35.0,52.0,38.0,Asia,False,False,True,True
57,Bangladesh,BGD,2000,41.0,100.0,100.0,Asia,False,False,False,False
58,Bangladesh,BGD,2001,47.0,67.0,60.0,Asia,False,False,True,True
59,Bangladesh,BGD,2006,51.0,78.755,87.2,Asia,False,False,False,False
60,Bangladesh,BGD,2007,55.0,90.51,77.09,Asia,False,False,False,False
61,Bangladesh,BGD,2011,59.0,76.0,80.0,Asia,False,False,False,False
62,Bangladesh,BGD,2012,58.0,76.0,79.0,Asia,False,False,False,False
63,Bangladesh,BGD,2013,61.0,84.0,87.0,Asia,False,False,False,False
64,Bangladesh,BGD,2014,61.0,85.0,86.0,Asia,False,False,False,False
65,Bangladesh,BGD,2015,65.0,86.0,90.0,Asia,False,False,False,False
66,Bangladesh,BGD,2016,73.0,91.0,94.0,Asia,False,False,False,False
67,Bangladesh,BGD,2017,73.0,92.0,94.0,Asia,False,False,False,False
68,Bangladesh,BGD,2018,74.0,92.0,95.0,Asia,False,False,False,False
69,Bangladesh,BGD,2019,75.0,94.0,96.0,Asia,False,False,False,False
70,Bangladesh,BGD,2020,75.0,93.0,96.0,Asia,False,False,False,False
71,Bangladesh,BGD,2021,76.0,94.0,96.0,Asia,False,False,False,False
72,Bangladesh,BGD,2022,79.0,92.0,94.0,Asia,False,False,False,False
76,Belarus,BLR,1999,100.0,100.0,100.0,Europe,False,False,False,False
77,Belarus,BLR,2005,100.0,100.0,99.98,Europe,False,False,False,False
78,Belarus,BLR,2009,100.0,100.0,100.0,Europe,False,False,False,False
79,Belarus,BLR,2012,100.0,100.0,100.0,Europe,False,False,False,False
80,Belarus,BLR,2019,100.0,100.0,100.0,Europe,False,False,False,False
81,Belize,BLZ,1991,70.0,77.0,78.0,North America,False,False,False,False
82,Belize,BLZ,2006,76.97201333333334,83.94272666666667,95.13,North America,False,False,False,False
83,Belize,BLZ,2011,83.94402666666666,90.88545333333333,96.6,North America,False,False,False,False
84,Belize,BLZ,2015,90.91604,97.82818,98.07905,North America,False,False,False,False
86,Benin,BEN,1992,27.0,55.0,27.0,Africa,False,True,True,True
87,Benin,BEN,2001,31.0,61.08,31.85,Africa,False,True,True,True
88,Benin,BEN,2002,35.0,59.0,33.0,Africa,False,False,True,True
89,Benin,BEN,2006,36.935604999999995,72.07,39.53,Africa,False,False,True,True
90,Benin,BEN,2017,38.87121,66.79979,50.98536,Africa,False,False,True,True
91,Benin,BEN,2019,48.99828,76.35444,62.76271,Africa,False,False,False,True
92,Benin,BEN,2021,43.83417,70.96799,59.18644,Africa,False,False,True,True
93,Benin,BEN,2022,51.37877,74.60011,67.93813,Africa,False,False,False,False
94,Bhutan,BTN,2005,53.0,80.0,68.0,Asia,False,False,False,False
95,Bhutan,BTN,2010,54.0,85.0,63.34,Asia,False,False,False,True
96,Bhutan,BTN,2012,55.0,90.0,82.0,Asia,False,False,False,False
97,Bhutan,BTN,2017,67.0,93.0,93.0,Asia,False,False,False,False
99,Bolivia,BOL,1992,80.0,96.0,92.0,South America,False,False,False,False
100,Bolivia,BOL,2000,83.5,98.4,96.3,South America,False,False,False,False
101,Bolivia,BOL,2001,87.0,98.2,96.5,South America,False,False,False,False
102,Bolivia,BOL,2002,87.66666666666667,99.1,97.1,South America,False,False,False,False
103,Bolivia,BOL,2003,88.33333333333333,99.47,96.67,South America,False,False,False,False
104,Bolivia,BOL,2004,89.0,99.6,98.6,South America,False,False,False,False
105,Bolivia,BOL,2005,89.66666666666667,99.3,98.4,South America,False,False,False,False
106,Bolivia,BOL,2006,90.33333333333333,99.4,97.4,South America,False,False,False,False
107,Bolivia,BOL,2007,91.0,99.8,99.1,South America,False,False,False,False
108,Bolivia,BOL,2008,91.0,99.4,99.0,South America,False,False,False,False
109,Bolivia,BOL,2009,91.0,99.7,99.1,South America,False,False,False,False
110,Bolivia,BOL,2011,92.0,99.3,98.8,South America,False,False,False,False
111,Bolivia,BOL,2012,94.0,99.5,99.2,South America,False,False,False,False
112,Bolivia,BOL,2013,93.33333333333333,99.5,99.2,South America,False,False,False,False
113,Bolivia,BOL,2014,92.66666666666667,99.7,99.2,South America,False,False,False,False
114,Bolivia,BOL,2015,92.0,99.4,99.4,South America,False,False,False,False
115,Bolivia,BOL,2016,92.4,99.5,99.3,South America,False,False,False,False
116,Bolivia,BOL,2017,92.8,99.4,99.3,South America,False,False,False,False
117,Bolivia,BOL,2018,93.2,99.7,99.4,South America,False,False,False,False
118,Bolivia,BOL,2019,93.6,99.7,99.4,South America,False,False,False,False
119,Bolivia,BOL,2020,94.0,99.6,99.5,South America,False,False,False,False
120,Bolivia,BOL,2021,94.0,99.5,99.5,South America,False,False,False,False
121,Bosnia and Herzegovina,BIH,1991,89.0,99.0,99.0,Europe,False,False,False,False
122,Bosnia and Herzegovina,BIH,2000,97.0,100.0,100.0,Europe,False,False,False,False
123,Bosnia and Herzegovina,BIH,2006,97.0,100.0,99.82,Europe,False,False,False,False
124,Bosnia and Herzegovina,BIH,2013,97.0,100.0,100.0,Europe,False,False,False,False
125,Botswana,BWA,1991,69.0,86.0,92.0,Africa,False,False,False,False
126,Botswana,BWA,2003,81.0,92.0,96.0,Africa,False,False,False,False
128,Brazil,BRA,2000,86.0,93.0,96.0,South America,False,False,False,False
129,Brazil,BRA,2001,86.75,94.7,96.9,South America,False,False,False,False
130,Brazil,BRA,2002,87.5,95.1,97.5,South America,False,False,False,False
131,Brazil,BRA,2003,88.25,95.6,97.7,South America,False,False,False,False
132,Brazil,BRA,2004,89.0,95.7,97.9,South America,False,False,False,False
133,Brazil,BRA,2005,89.5,96.1,98.1,South America,False,False,False,False
134,Brazil,BRA,2006,90.0,96.8,98.3,South America,False,False,False,False
135,Brazil,BRA,2007,90.0,97.0,98.6,South America,False,False,False,False
136,Brazil,BRA,2008,90.0,97.2,98.5,South America,False,False,False,False
137,Brazil,BRA,2009,90.0,97.4,98.7,South America,False,False,False,False
138,Brazil,BRA,2010,90.0,97.0,98.0,South America,False,False,False,False
139,Brazil,BRA,2011,91.0,97.9,99.1,South America,False,False,False,False
140,Brazil,BRA,2012,91.0,98.2,99.0,South America,False,False,False,False
141,Brazil,BRA,2013,91.0,98.3,99.2,South America,False,False,False,False
142,Brazil,BRA,2014,92.0,98.4,99.3,South America,False,False,False,False
143,Brazil,BRA,2015,92.0,98.6,99.3,South America,False,False,False,False
144,Brazil,BRA,2016,93.0,98.7,99.5,South America,False,False,False,False
145,Brazil,BRA,2017,93.0,98.8,99.5,South America,False,False,False,False
146,Brazil,BRA,2018,93.0,98.7,99.4,South America,False,False,False,False
147,Brazil,BRA,2019,93.0,98.7,99.5,South America,False,False,False,False
148,Brazil,BRA,2020,93.0,99.0,99.5,South America,False,False,False,False
149,Brazil,BRA,2021,93.0,99.1,99.5,South America,False,False,False,False
150,Brazil,BRA,2022,93.0,99.0,99.6,South America,False,False,False,False
151,Brazil,BRA,2023,93.0,99.0,99.6,South America,False,False,False,False
153,Brunei,BRN,1991,88.0,98.0,98.0,Asia,False,False,False,False
154,Brunei,BRN,2001,93.0,99.0,99.0,Asia,False,False,False,False
155,Brunei,BRN,2011,96.0,99.0,100.0,Asia,False,False,False,False
156,Bulgaria,BGR,2001,98.0,98.0,98.0,Europe,False,False,False,False
157,Bulgaria,BGR,2011,98.0,98.0,98.0,Europe,False,False,False,False
159,Burkina Faso,BFA,1991,14.0,27.0,14.0,Africa,False,True,True,True
160,Burkina Faso,BFA,1996,13.0,25.0,14.0,Africa,False,True,True,True
161,Burkina Faso,BFA,2003,22.0,38.0,25.0,Africa,False,True,True,True
162,Burkina Faso,BFA,2005,24.0,40.0,26.0,Africa,False,True,True,True
163,Burkina Faso,BFA,2006,22.0,40.0,27.0,Africa,False,True,True,True
164,Burkina Faso,BFA,2007,28.0,47.0,33.0,Africa,False,True,True,True
165,Burkina Faso,BFA,2010,31.5,47.04,27.24,Africa,False,True,True,True
166,Burkina Faso,BFA,2014,35.0,57.0,44.0,Africa,False,False,True,True
167,Burkina Faso,BFA,2018,39.0,64.0,54.0,Africa,False,False,True,True
168,Burkina Faso,BFA,2019,30.0,51.0,44.0,Africa,False,True,True,True
169,Burkina Faso,BFA,2021,36.96738,66.64593,58.758,Africa,False,False,True,True
170,Burkina Faso,BFA,2022,40.92361,65.47311,60.56925,Africa,False,False,True,True
172,Burundi,BDI,1990,37.0,59.0,48.0,Africa,False,False,True,True
173,Burundi,BDI,2000,59.0,77.0,70.0,Africa,False,False,False,False
174,Burundi,BDI,2005,53.5,72.0,52.83,Africa,False,False,True,True
175,Burundi,BDI,2008,48.0,67.0,57.0,Africa,False,False,True,True
176,Burundi,BDI,2010,55.0,82.66,66.51,Africa,False,False,False,False
177,Burundi,BDI,2014,62.0,85.0,75.0,Africa,False,False,False,False
178,Burundi,BDI,2016,65.68774,86.7551,82.08605,Africa,False,False,False,False
179,Burundi,BDI,2017,68.0,91.0,86.0,Africa,False,False,False,False
180,Cambodia,KHM,1998,67.0,82.0,71.0,Asia,False,False,False,False
181,Cambodia,KHM,2000,70.5,85.0,54.67,Asia,False,False,False,True
182,Cambodia,KHM,2004,74.0,88.0,79.0,Asia,False,False,False,False
183,Cambodia,KHM,2005,75.5,100.0,67.33,Asia,False,False,False,False
184,Cambodia,KHM,2008,77.0,89.0,86.0,Asia,False,False,False,False
