Price,Date,Close,High,Low,Open,Volume
Ticker,,^IXIC,^IXIC,^IXIC,^IXIC,^IXIC
915,2023-08-22,13505.8701171875,13598.76953125,13484.3798828125,13593.9501953125,4282430000
916,2023-08-23,13721.0302734375,13757.0,13532.4296875,13532.4296875,4127850000
917,2023-08-24,13463.9697265625,13834.6904296875,13462.83984375,13834.3095703125,4383820000
918,2023-08-25,13590.650390625,13633.419921875,13376.349609375,13514.3701171875,3970060000
919,2023-08-28,13705.1298828125,13735.98046875,13626.6396484375,13695.3603515625,3666680000
920,2023-08-29,13943.759765625,13959.8095703125,13677.0595703125,13687.23046875,4748180000
921,2023-08-30,14019.3095703125,14050.8203125,13924.2001953125,13961.76953125,4364600000
922,2023-08-31,14034.9697265625,14114.669921875,14010.48046875,14041.5400390625,4568610000
923,2023-09-01,14031.8095703125,14149.6201171875,13982.419921875,14129.9599609375,4033960000
924,2023-09-05,14020.9501953125,14060.849609375,13945.650390625,13994.5400390625,4379790000
925,2023-09-06,13872.4697265625,14001.9501953125,13802.419921875,13988.8095703125,4215320000
926,2023-09-07,13748.830078125,13774.6298828125,13642.4697265625,13675.1103515625,4320830000
927,2023-09-08,13761.5302734375,13843.3701171875,13733.1796875,13754.7099609375,4160360000
928,2023-09-11,13917.8896484375,13937.4697265625,13805.1298828125,13884.0302734375,4538870000
929,2023-09-12,13773.6103515625,13913.599609375,13763.6904296875,13858.9404296875,4595490000
930,2023-09-13,13813.58984375,13868.5703125,13733.8203125,13773.669921875,4840310000
931,2023-09-14,13926.0498046875,13957.5703125,13810.66015625,13889.759765625,4649010000
932,2023-09-15,13708.330078125,13895.75,13684.240234375,13889.2001953125,8162210000
933,2023-09-18,13710.240234375,13751.2802734375,13663.4599609375,13669.9599609375,4855880000
934,2023-09-19,13678.1904296875,13705.150390625,13578.8701171875,13649.4404296875,4453460000
935,2023-09-20,13469.1298828125,13727.8095703125,13467.2802734375,13710.259765625,4782440000
936,2023-09-21,13223.98046875,13362.23046875,13222.5595703125,13328.0595703125,5014890000
937,2023-09-22,13211.8095703125,13353.2197265625,13200.6396484375,13287.169921875,4302700000
938,2023-09-25,13271.3203125,13277.830078125,13132.0,13172.5400390625,4100290000
939,2023-09-26,13063.6103515625,13199.1298828125,13033.400390625,13180.9599609375,4693540000
940,2023-09-27,13092.849609375,13156.3701171875,12963.16015625,13115.3603515625,4841410000
941,2023-09-28,13201.2802734375,13270.9697265625,13025.1103515625,13043.3701171875,4648390000
942,2023-09-29,13219.3203125,13382.98046875,13177.08984375,13337.7099609375,5138500000
943,2023-10-02,13307.76953125,13364.0302734375,13204.080078125,13217.98046875,4554700000
944,2023-10-03,13059.4697265625,13280.0400390625,13008.599609375,13229.6796875,4684310000
945,2023-10-04,13236.009765625,13258.759765625,13072.509765625,13092.919921875,4308070000
946,2023-10-05,13219.830078125,13251.1796875,13087.5703125,13228.1201171875,4167470000
947,2023-10-06,13431.33984375,13472.26953125,13099.0302734375,13127.6796875,4309420000
948,2023-10-09,13484.240234375,13509.2998046875,13277.48046875,13326.2197265625,3835930000
949,2023-10-10,13562.83984375,13659.6298828125,13491.8095703125,13505.8095703125,4301350000
950,2023-10-11,13659.6796875,13671.1103515625,13549.2900390625,13619.2099609375,4160440000
951,2023-10-12,13574.2197265625,13714.1396484375,13491.5595703125,13672.4697265625,4858620000
952,2023-10-13,13407.23046875,13619.5400390625,13361.849609375,13613.58984375,4251550000
953,2023-10-16,13567.98046875,13598.0498046875,13447.169921875,13453.8095703125,4308690000
954,2023-10-17,13533.75,13602.25,13364.740234375,13419.8701171875,4417640000
955,2023-10-18,13314.2998046875,13499.740234375,13275.2998046875,13439.6796875,4617140000
956,2023-10-19,13186.1796875,13404.73046875,13157.330078125,13354.7998046875,5014790000
957,2023-10-20,12983.8095703125,13177.349609375,12977.4296875,13157.76953125,4622840000
958,2023-10-23,13018.330078125,13143.2197265625,12848.830078125,12930.849609375,4669060000
959,2023-10-24,13139.8701171875,13170.3896484375,13022.849609375,13084.990234375,4604720000
960,2023-10-25,12821.2197265625,13042.51953125,12804.2998046875,13039.8603515625,4599850000
961,2023-10-26,12595.6103515625,12818.1396484375,12543.8603515625,12768.9697265625,4894900000
962,2023-10-27,12643.009765625,12772.4296875,12600.5703125,12718.6904296875,4172100000
963,2023-10-30,12789.48046875,12842.9599609375,12691.5595703125,12750.4697265625,4149320000
964,2023-10-31,12851.240234375,12859.400390625,12697.0400390625,12786.6201171875,4315630000
965,2023-11-01,13061.4697265625,13072.419921875,12875.2001953125,12887.0595703125,4545120000
966,2023-11-02,13294.1904296875,13302.1796875,13177.6396484375,13230.490234375,4962950000
967,2023-11-03,13478.2802734375,13520.2802734375,13344.73046875,13362.849609375,4918750000
968,2023-11-06,13518.7802734375,13551.6201171875,13435.990234375,13514.080078125,4345850000
969,2023-11-07,13639.8603515625,13675.4599609375,13516.5595703125,13555.7900390625,4354460000
970,2023-11-08,13650.41015625,13684.8701171875,13573.580078125,13660.2197265625,4685550000
971,2023-11-09,13521.4501953125,13697.8203125,13506.01953125,13693.7001953125,5313970000
972,2023-11-10,13798.1103515625,13802.5302734375,13556.349609375,13571.1904296875,4722140000
973,2023-11-13,13767.740234375,13805.1103515625,13687.7802734375,13745.9599609375,4349590000
974,2023-11-14,14094.3798828125,14124.0595703125,14003.1396484375,14015.3701171875,5332490000
975,2023-11-15,14103.83984375,14194.3603515625,14060.7001953125,14147.26953125,5063830000
976,2023-11-16,14113.669921875,14130.4501953125,14033.7900390625,14066.8798828125,4545180000
977,2023-11-17,14125.48046875,14154.3203125,14063.9296875,14101.4404296875,4408640000
978,2023-11-20,14284.5302734375,14309.7998046875,14134.2001953125,14134.75,4561810000
979,2023-11-21,14199.98046875,14237.5,14146.3095703125,14217.23046875,4128600000
980,2023-11-22,14265.8603515625,14359.6103515625,14226.6298828125,14283.8203125,3855240000
981,2023-11-24,14250.849609375,14270.2802734375,14214.1298828125,14238.0400390625,2541840000
982,2023-11-27,14241.01953125,14305.7099609375,14205.240234375,14239.3095703125,4205880000
983,2023-11-28,14281.759765625,14303.66015625,14195.7197265625,14224.6298828125,4474400000
984,2023-11-29,14258.490234375,14423.2197265625,14247.8896484375,14367.1103515625,4890220000
985,2023-11-30,14226.2197265625,14289.2001953125,14127.0498046875,14265.0498046875,5678070000
986,2023-12-01,14305.0302734375,14311.9501953125,14135.0,14181.349609375,5607000000
987,2023-12-04,14185.490234375,14197.51953125,14058.51953125,14168.66015625,6270020000
988,2023-12-05,14229.91015625,14285.66015625,14121.759765625,14126.400390625,6179120000
989,2023-12-06,14146.7099609375,14327.6298828125,14138.509765625,14325.6201171875,5167030000
990,2023-12-07,14339.990234375,14353.1103515625,14220.8701171875,14230.4296875,5694310000
991,2023-12-08,14403.9697265625,14416.919921875,14264.9599609375,14279.4599609375,5430840000
992,2023-12-11,14432.490234375,14436.080078125,14324.5703125,14340.1298828125,5607820000
993,2023-12-12,14533.400390625,14533.400390625,14385.3896484375,14423.009765625,4950100000
994,2023-12-13,14733.9599609375,14743.5498046875,14517.51953125,14555.6796875,6732040000
995,2023-12-14,14761.5595703125,14855.6201171875,14642.23046875,14798.7197265625,8033170000
996,2023-12-15,14813.919921875,14848.400390625,14753.16015625,14797.4599609375,8377630000
997,2023-12-18,14904.8095703125,14938.0400390625,14811.8203125,14814.01953125,5866080000
998,2023-12-19,15003.2197265625,15003.7998046875,14921.599609375,14923.01953125,5757180000
999,2023-12-20,14777.9404296875,15069.2900390625,14776.2900390625,14973.3603515625,6294700000
1000,2023-12-21,14963.8701171875,14970.8095703125,14837.4697265625,14923.1396484375,5465640000
1001,2023-12-22,14992.9697265625,15047.1904296875,14927.1201171875,15006.1796875,4796600000
1002,2023-12-26,15074.5703125,15101.1796875,15024.0595703125,15028.6904296875,6120600000
1003,2023-12-27,15099.1796875,15114.080078125,15051.669921875,15089.66015625,7480170000
1004,2023-12-28,15095.1396484375,15150.0703125,15087.2197265625,15142.08984375,5090570000
1005,2023-12-29,15011.349609375,15111.41015625,14955.3701171875,15099.2001953125,5441060000
1006,2024-01-02,14765.9404296875,14887.7998046875,14682.3798828125,14873.7001953125,5791170000
1007,2024-01-03,14592.2099609375,14694.580078125,14577.4404296875,14641.4697265625,5449950000
1008,2024-01-04,14510.2998046875,14632.76953125,14504.7802734375,14532.23046875,5289220000
1009,2024-01-05,14524.0703125,14625.1904296875,14477.5703125,14500.1103515625,5232820000
1010,2024-01-08,14843.76953125,14846.900390625,14560.2001953125,14564.4697265625,6337770000
1011,2024-01-09,14857.7099609375,14894.3203125,14716.7099609375,14744.1298828125,5068410000
1012,2024-01-10,14969.650390625,14998.2001953125,14842.7001953125,14877.7001953125,4404590000
1013,2024-01-11,14970.1904296875,15063.6103515625,14800.3798828125,15020.9501953125,5044690000
1014,2024-01-12,14972.759765625,15047.25,14931.8798828125,15001.009765625,4958940000
1015,2024-01-16,14944.349609375,15004.349609375,14863.8095703125,14908.259765625,6386180000
1016,2024-01-17,14855.6201171875,14865.759765625,14706.23046875,14814.76953125,5181740000
1017,2024-01-18,15055.650390625,15066.8095703125,14911.1103515625,14994.51953125,5587440000
1018,2024-01-19,15310.9697265625,15310.9697265625,15087.2001953125,15122.3798828125,5604950000
1019,2024-01-22,15360.2900390625,15438.849609375,15333.6298828125,15393.0498046875,5456240000
1020,2024-01-23,15425.9404296875,15432.349609375,15337.23046875,15391.41015625,5207680000
1021,2024-01-24,15481.919921875,15629.0703125,15468.91015625,15560.6103515625,4983210000
1022,2024-01-25,15510.5,15597.25,15430.6796875,15555.6201171875,5281570000
1023,2024-01-26,15455.3603515625,15538.83984375,15433.0400390625,15474.849609375,4510530000
1024,2024-01-29,15628.0400390625,15630.580078125,15449.8701171875,15470.66015625,4979310000
1025,2024-01-30,15509.900390625,15619.23046875,15484.669921875,15604.080078125,4719240000
1026,2024-01-31,15164.009765625,15405.5595703125,15158.490234375,15324.1904296875,5875610000
1027,2024-02-01,15361.6396484375,15372.1298828125,15208.8798828125,15254.01953125,5046920000
1028,2024-02-02,15628.9501953125,15664.2099609375,15366.7802734375,15403.16015625,4800690000
1029,2024-02-05,15597.6796875,15637.8798828125,15471.6796875,15613.990234375,4831020000
1030,2024-02-06,15609.0,15652.75,15515.25,15638.1904296875,4759640000
1031,2024-02-07,15756.6396484375,15770.6796875,15645.8095703125,15690.349609375,4567580000
1032,2024-02-08,15793.7099609375,15813.26953125,15739.1796875,15762.23046875,5675850000
1033,2024-02-09,15990.66015625,16007.2900390625,15831.759765625,15842.3798828125,5797260000
1034,2024-02-12,15942.5498046875,16080.0703125,15917.8701171875,15980.6201171875,5458490000
1035,2024-02-13,15655.599609375,15770.419921875,15551.4404296875,15598.8798828125,5599860000
1036,2024-02-14,15859.150390625,15865.509765625,15683.9404296875,15781.7099609375,5092660000
1037,2024-02-15,15906.169921875,15911.2197265625,15779.7197265625,15865.2998046875,6049100000
1038,2024-02-16,15775.650390625,15917.41015625,15752.01953125,15910.4296875,5223800000
1039,2024-02-20,15630.7802734375,15730.4697265625,15508.5,15679.83984375,5595700000
1040,2024-02-21,15580.8701171875,15583.6796875,15451.650390625,15532.1201171875,4845740000
