,entity,code,year,illiteracy_rate,literacy_rate
343,Dominican Republic,DOM,2002,13.0,87.0
344,Dominican Republic,DOM,2007,12.0,88.0
345,Dominican Republic,DOM,2010,10.0,90.0
346,Dominican Republic,DOM,2011,10.0,90.0
347,Dominican Republic,DOM,2012,10.0,90.0
348,Dominican Republic,DOM,2013,9.0,91.0
349,Dominican Republic,DOM,2014,8.0,92.0
350,Dominican Republic,DOM,2015,8.0,92.0
351,Dominican Republic,DOM,2016,6.0,94.0
352,East Asia and Pacific (WB),,1976,34.309,65.691
353,East Asia and Pacific (WB),,1977,34.123337,65.87666
354,East Asia and Pacific (WB),,1978,33.031937,66.96806
355,East Asia and Pacific (WB),,1979,31.79586,68.20414
356,East Asia and Pacific (WB),,1980,30.69854,69.30146
357,East Asia and Pacific (WB),,1981,29.654427,70.34557
358,East Asia and Pacific (WB),,1982,28.6856,71.3144
359,East Asia and Pacific (WB),,1983,27.755302,72.2447
360,East Asia and Pacific (WB),,1984,26.768372,73.23163
361,East Asia and Pacific (WB),,1985,25.832024,74.16798
362,East Asia and Pacific (WB),,1986,24.999283,75.00072
363,East Asia and Pacific (WB),,1987,23.825752,76.17425
364,East Asia and Pacific (WB),,1988,20.04023,79.95977
365,East Asia and Pacific (WB),,1989,19.410767,80.58923
366,East Asia and Pacific (WB),,1990,18.829239,81.17076
367,East Asia and Pacific (WB),,1991,18.288834,81.71117
368,East Asia and Pacific (WB),,1992,17.776428,82.22357
369,East Asia and Pacific (WB),,1993,17.310158,82.68984
370,East Asia and Pacific (WB),,1994,16.75531,83.24469
371,East Asia and Pacific (WB),,1995,16.195702,83.8043
372,East Asia and Pacific (WB),,1996,15.709953,84.29005
373,East Asia and Pacific (WB),,1997,10.722511,89.27749
374,East Asia and Pacific (WB),,1998,10.357094,89.64291
375,East Asia and Pacific (WB),,1999,10.039719,89.96028
376,East Asia and Pacific (WB),,2000,9.678146,90.32185
377,East Asia and Pacific (WB),,2001,9.364357,90.63564
378,East Asia and Pacific (WB),,2002,9.010178,90.98982
379,East Asia and Pacific (WB),,2003,8.638557,91.36144
380,East Asia and Pacific (WB),,2004,8.305519,91.69448
381,East Asia and Pacific (WB),,2005,7.9703903,92.02961
382,East Asia and Pacific (WB),,2006,7.6208115,92.37919
383,East Asia and Pacific (WB),,2007,6.487503,93.5125
384,East Asia and Pacific (WB),,2008,6.1838226,93.81618
385,East Asia and Pacific (WB),,2009,5.914818,94.08518
386,East Asia and Pacific (WB),,2010,5.7998276,94.20017
387,East Asia and Pacific (WB),,2011,6.135399,93.8646
388,East Asia and Pacific (WB),,2012,5.9049835,94.09502
389,East Asia and Pacific (WB),,2013,5.793068,94.20693
390,East Asia and Pacific (WB),,2014,5.2887573,94.71124
391,East Asia and Pacific (WB),,2015,5.0720825,94.92792
392,East Asia and Pacific (WB),,2016,4.868042,95.13196
393,East Asia and Pacific (WB),,2017,4.6769485,95.32305
394,East Asia and Pacific (WB),,2018,4.6305695,95.36943
395,East Asia and Pacific (WB),,2019,4.193123,95.80688
396,East Asia and Pacific (WB),,2020,3.9712982,96.0287
397,East Asia and Pacific (WB),,2021,3.8350677,96.16493
398,East Asia and Pacific (WB),,2022,3.6990738,96.30093
399,East Asia and Pacific (WB),,2023,3.5695114,96.43049
400,East Timor,TLS,1950,97.0,3.0
401,East Timor,TLS,2001,62.0,38.0
402,East Timor,TLS,2007,49.0,51.0
403,East Timor,TLS,2010,42.0,58.0
404,East Timor,TLS,2016,34.22087,65.77913
405,Eastern and South-Eastern Asia (SDG),,1976,34.49829,65.50171
406,Eastern and South-Eastern Asia (SDG),,1977,34.31228,65.68772
407,Eastern and South-Eastern Asia (SDG),,1978,33.206482,66.79352
408,Eastern and South-Eastern Asia (SDG),,1979,31.953552,68.04645
409,Eastern and South-Eastern Asia (SDG),,1980,30.841797,69.1582
410,Eastern and South-Eastern Asia (SDG),,1981,29.78447,70.21553
411,Eastern and South-Eastern Asia (SDG),,1982,28.803528,71.19647
412,Eastern and South-Eastern Asia (SDG),,1983,27.861702,72.1383
413,Eastern and South-Eastern Asia (SDG),,1984,26.862343,73.13766
414,Eastern and South-Eastern Asia (SDG),,1985,25.914284,74.08572
415,Eastern and South-Eastern Asia (SDG),,1986,25.071411,74.92859
416,Eastern and South-Eastern Asia (SDG),,1987,23.882301,76.1177
417,Eastern and South-Eastern Asia (SDG),,1988,20.041359,79.95864
418,Eastern and South-Eastern Asia (SDG),,1989,19.404541,80.59546
419,Eastern and South-Eastern Asia (SDG),,1990,18.81636,81.18364
420,Eastern and South-Eastern Asia (SDG),,1991,18.269188,81.73081
421,Eastern and South-Eastern Asia (SDG),,1992,17.750427,82.24957
422,Eastern and South-Eastern Asia (SDG),,1993,17.278267,82.72173
423,Eastern and South-Eastern Asia (SDG),,1994,16.71614,83.28386
424,Eastern and South-Eastern Asia (SDG),,1995,16.149208,83.85079
425,Eastern and South-Eastern Asia (SDG),,1996,15.659859,84.34014
426,Eastern and South-Eastern Asia (SDG),,1997,10.600128,89.39987
427,Eastern and South-Eastern Asia (SDG),,1998,10.2328415,89.76716
428,Eastern and South-Eastern Asia (SDG),,1999,9.9135895,90.08641
429,Eastern and South-Eastern Asia (SDG),,2000,9.54808,90.45192
430,Eastern and South-Eastern Asia (SDG),,2001,9.231987,90.76801
431,Eastern and South-Eastern Asia (SDG),,2002,8.875252,91.12475
432,Eastern and South-Eastern Asia (SDG),,2003,8.500458,91.49954
433,Eastern and South-Eastern Asia (SDG),,2004,8.165031,91.83497
434,Eastern and South-Eastern Asia (SDG),,2005,7.826912,92.17309
435,Eastern and South-Eastern Asia (SDG),,2006,7.474037,92.52596
436,Eastern and South-Eastern Asia (SDG),,2007,6.324478,93.67552
437,Eastern and South-Eastern Asia (SDG),,2008,6.017021,93.98298
438,Eastern and South-Eastern Asia (SDG),,2009,5.744461,94.25554
439,Eastern and South-Eastern Asia (SDG),,2010,5.629059,94.37094
440,Eastern and South-Eastern Asia (SDG),,2011,5.969116,94.03088
441,Eastern and South-Eastern Asia (SDG),,2012,5.7337875,94.26621
442,Eastern and South-Eastern Asia (SDG),,2013,5.618782,94.38122
443,Eastern and South-Eastern Asia (SDG),,2014,5.101639,94.89836
444,Eastern and South-Eastern Asia (SDG),,2015,4.876549,95.12345
445,Eastern and South-Eastern Asia (SDG),,2016,4.667053,95.33295
446,Eastern and South-Eastern Asia (SDG),,2017,4.4703674,95.52963
447,Eastern and South-Eastern Asia (SDG),,2018,4.4209137,95.57909
448,Eastern and South-Eastern Asia (SDG),,2019,3.9734497,96.02655
449,Eastern and South-Eastern Asia (SDG),,2020,3.7453766,96.25462
450,Eastern and South-Eastern Asia (SDG),,2021,3.6060562,96.39394
451,Eastern and South-Eastern Asia (SDG),,2022,3.4645462,96.53545
452,Eastern and South-Eastern Asia (SDG),,2023,3.3294983,96.6705
453,Ecuador,ECU,1950,42.5,57.5
454,Ecuador,ECU,1982,16.0,84.0
455,Ecuador,ECU,1990,12.0,88.0
456,Ecuador,ECU,2001,9.0,91.0
457,Ecuador,ECU,2007,8.0,92.0
458,Ecuador,ECU,2008,8.0,92.0
459,Ecuador,ECU,2009,8.0,92.0
460,Ecuador,ECU,2010,8.0,92.0
461,Ecuador,ECU,2011,8.0,92.0
462,Ecuador,ECU,2012,8.0,92.0
463,Ecuador,ECU,2013,7.0,93.0
464,Ecuador,ECU,2014,6.0,94.0
465,Ecuador,ECU,2015,6.0,94.0
466,Ecuador,ECU,2016,6.0,94.0
467,Ecuador,ECU,2017,7.0,93.0
468,Ecuador,ECU,2020,6.0,94.0
469,Ecuador,ECU,2021,6.0,94.0
470,Ecuador,ECU,2022,6.0,94.0
471,Egypt,EGY,1907,92.7,7.3
472,Egypt,EGY,1917,91.2,8.8
473,Egypt,EGY,1927,85.9,14.1
474,Egypt,EGY,1937,85.2,14.8
475,Egypt,EGY,1950,77.5,22.5
476,Egypt,EGY,1976,62.0,38.0
477,Egypt,EGY,1986,56.0,44.0
478,Egypt,EGY,1996,44.0,56.0
479,Egypt,EGY,2005,33.0,67.0
480,Egypt,EGY,2006,34.0,66.0
481,Egypt,EGY,2010,28.0,72.0
482,Egypt,EGY,2012,26.0,74.0
483,Egypt,EGY,2013,28.0,72.0
484,Egypt,EGY,2017,29.0,71.0
485,El Salvador,SLV,1950,62.5,37.5
486,El Salvador,SLV,1992,26.0,74.0
487,El Salvador,SLV,2006,16.0,84.0
488,El Salvador,SLV,2007,18.0,82.0
489,El Salvador,SLV,2008,16.0,84.0
490,El Salvador,SLV,2009,16.0,84.0
491,El Salvador,SLV,2010,16.0,84.0
492,El Salvador,SLV,2011,15.0,85.0
493,El Salvador,SLV,2013,13.0,87.0
494,El Salvador,SLV,2015,12.0,88.0
495,El Salvador,SLV,2016,12.0,88.0
496,El Salvador,SLV,2017,12.0,88.0
497,El Salvador,SLV,2018,11.0,89.0
