,country,code,year,illiteracy_rate,literacy_rate,invalid_literacy_flag,literacy_rate_outlier_flag,illiteracy_rate_outlier_flag,illiteracy_rate_norm,illiteracy_burden_index
299,Colombia,COL,2019,5.0,95.0,False,False,False,0.056179775280898875,0.056179775280898875
300,Colombia,COL,2020,4.0,96.0,False,False,False,0.0449438202247191,0.0449438202247191
303,Comoros,COM,2000,32.0,68.0,False,False,False,0.3595505617977528,0.3595505617977528
305,Congo,COG,2005,24.0,76.0,False,False,False,0.2696629213483146,0.2696629213483146
309,Costa Rica,CRI,2000,5.0,95.0,False,False,False,0.056179775280898875,0.056179775280898875
310,Costa Rica,CRI,2011,3.0,97.0,False,False,False,0.033707865168539325,0.033707865168539325
312,Cote d'Ivoire,CIV,1998,64.0,36.0,False,True,True,0.7191011235955056,0.7191011235955056
313,Cote d'Ivoire,CIV,2000,51.0,49.0,False,False,False,0.5730337078651685,0.5730337078651685
314,Cote d'Ivoire,CIV,2014,56.0,44.0,False,False,False,0.6292134831460674,0.6292134831460674
315,Cote d'Ivoire,CIV,2016,49.96032,50.03968,False,False,False,0.5613519101123595,0.5613519101123595
316,Cote d'Ivoire,CIV,2021,49.99936,50.00064,False,False,False,0.5617905617977528,0.5617905617977528
317,Croatia,HRV,1991,3.0,97.0,False,False,False,0.033707865168539325,0.033707865168539325
318,Croatia,HRV,2001,2.0,98.0,False,False,False,0.02247191011235955,0.02247191011235955
326,Cuba,CUB,2002,0.0,100.0,False,False,False,0.0,0.0
327,Cuba,CUB,2012,0.0,100.0,False,False,False,0.0,0.0
328,Cuba,CUB,2019,2.3450928,97.65491,False,False,False,0.026349357303370787,0.026349357303370787
330,Cyprus,CYP,1992,6.0,94.0,False,False,False,0.06741573033707865,0.06741573033707865
331,Cyprus,CYP,2001,3.0,97.0,False,False,False,0.033707865168539325,0.033707865168539325
332,Cyprus,CYP,2011,1.0,99.0,False,False,False,0.011235955056179775,0.011235955056179775
335,Democratic Republic of Congo,COD,2001,33.0,67.0,False,False,False,0.3707865168539326,0.3707865168539326
