country,year,education_development_index,education_spend_efficiency,illiteracy_burden_index,gender_gap_pct,log_gdp_norm,regional_convergence_index,education_development_index_norm,education_spend_efficiency_norm,illiteracy_burden_index_norm,gender_gap_pct_norm,log_gdp_norm_norm,regional_convergence_index_norm
Bahrain,2023,0.8656843052277212,0.044245908160076786,0.02247191011235955,0.0,0.8214383970676444,-2.2993200493539465,0.8728516084839848,0.21601128256843125,0.023255813953488372,0.3400891499609014,0.8087887720128973,0.44683099032583407
Bangladesh,1991,0.24556562705568236,0.02285249641050152,0.7303370786516854,26.923076923076923,0.22271313064518083,-20.79609750098983,0.23978698786309202,0.19315079921241854,0.7558139534883721,0.6581482335275743,0.1676487310438763,0.0
Bangladesh,2001,0.41020147622180086,0.13541548989201074,0.5955056179775281,10.44776119402985,0.2747859863297901,-5.256719930237242,0.4078598665903995,0.3134328967622914,0.616279069767442,0.4635150629867745,0.22341052146654233,0.37538838790388007
Bangladesh,2011,0.5547474751383353,0.20051431461998692,0.4606741573033708,-5.263157894736842,0.3542331605183484,-4.969537007751432,0.5554234881799063,0.3829959293729938,0.4767441860465117,0.2779121862561383,0.3084858763425532,0.3823259331057148
Bangladesh,2012,0.5508092616956236,0.18689590259597877,0.47191011235955055,-3.9473684210526314,0.36391335909964484,5.09768358882544,0.5514030584028455,0.3684436230342752,0.48837209302325585,0.29345642718232906,0.31885183759901603,0.6255221417836343
Bangladesh,2013,0.5961559319738421,0.2233895596736415,0.4382022471910112,-3.571428571428571,0.3727663723002006,-1.3017650885614493,0.5976964109925846,0.407439864026108,0.45348837209302323,0.2978976388755264,0.328332014174859,0.4709291594366885
Bangladesh,2014,0.5988514394613629,0.2171020076270318,0.4382022471910112,-1.1764705882352942,0.3817494318343311,3.8812708455123888,0.6004481913937141,0.4007211376913784,0.45348837209302323,0.32619076983866024,0.33795144980040637,0.5961369738990814
Bangladesh,2015,0.6298318306698139,0.23823276281312067,0.3932584269662921,-4.651162790697675,0.3915990678566932,-7.111442786216421,0.632075346480992,0.4233009525842112,0.4069767441860465,0.2851420657566921,0.34849885175095524,0.33058341294626437
Bangladesh,2016,0.6869976879619238,0.2845982581150174,0.3033707865168539,-3.296703296703297,0.40239942984690646,10.178629626571364,0.6904346300068103,0.47284600159507495,0.313953488372093,0.3011431397282476,0.36006433080658545,0.7482637466807265
Bangladesh,2017,0.6910937778121734,0.27870348753393237,0.3033707865168539,-2.1739130434782608,0.41239029027824103,-1.8047480006088144,0.6946162321071069,0.4665469920526123,0.313953488372093,0.3144073606045862,0.3707629617571988,0.45877848328270693
